plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
AC #27,#27 Ac Chambers,#27,Ac Chambers,22,15,1.5,8,0,5,Fusion,2018,22,15,0,1,0,1.5,22,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #27,#27 Ac Chambers,#27,Ac Chambers,120,28,4.3,30,0,7,Fusion,2018,142,43,0,2,0,3.3,71,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #27,#27 Ac Chambers,#27,Ac Chambers,97,25,3.9,63,0,8,Fusion,2018,239,68,0,3,0,3.5,79.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #27,#27 Ac Chambers,#27,Ac Chambers,75,21,3.6,15,0,9,Fusion,2018,314,89,0,4,0,3.5,78.5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #27,#27 Ac Chambers,#27,Ac Chambers,11,6,1.8,5,0,10,Fusion,2018,325,95,0,5,0,3.4,65,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #33,#33 Aisha Short,#33,Aisha Short,50,6,8.3,51,0,1,Assault,2018,50,6,0,1,0,8.3,50,8.3,#33,Aisha Short,1,1,NA,1,0,1,1,1,0,0,1,1,1
AS #33,#33 Aisha Short,#33,Aisha Short,118,18,6.6,20,1,2,Assault,2018,168,24,1,2,0.041666666666666664,7,84,6.6,#33,Aisha Short,11,3,5,3.7,0,2,12,4,0,0,3,6,3.7
AS #33,#33 Aisha Short,#33,Aisha Short,31,6,5.2,14,0,3,Assault,2018,199,30,1,3,0.03333333333333333,6.6,66.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #33,#33 Aisha Short,#33,Aisha Short,64,7,9.1,21,0,6,Assault,2018,263,37,1,4,0.02702702702702703,7.1,65.8,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #11,#11 Alaina Baldwin,#11,Alaina Baldwin,11,3,3.7,6,0,1,Wolf Pack,2018,11,3,0,1,0,3.7,11,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #11,#11 Alaina Baldwin,#11,Alaina Baldwin,52,11,4.7,15,0,2,Wolf Pack,2018,63,14,0,2,0,4.5,31.5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #11,#11 Alaina Baldwin,#11,Alaina Baldwin,145,14,10.4,43,2,4,Wolf Pack,2018,208,28,2,3,0.07142857142857142,7.4,69.3,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #11,#11 Alaina Baldwin,#11,Alaina Baldwin,195,20,9.8,56,2,6,Wolf Pack,2018,403,48,4,4,0.08333333333333333,8.4,100.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #11,#11 Alaina Baldwin,#11,Alaina Baldwin,166,12,13.8,59,3,8,Wolf Pack,2018,569,60,7,5,0.11666666666666667,9.5,113.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A #10,#10 Alexis  Snyder,#10,Alexis  Snyder,143,10,14.3,NA,3,4,Warriors,2018,143,10,3,1,0.3,14.3,143,14.3,#10,Alexis  Snyder,28,1,NA,28,0,5,28,1,0,0,28,28,28
A #10,#10 Alexis  Snyder,#10,Alexis  Snyder,80,6,13.3,NA,1,5,Warriors,2018,223,16,4,2,0.25,13.9,111.5,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A #10,#10 Alexis  Snyder,#10,Alexis  Snyder,177,11,16.1,68,2,7,Warriors,2018,400,27,6,3,0.2222222222222222,14.8,133.3,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,70,10,7,12,0,1,Las Cruces,2018,70,10,0,1,0,7,70,7,#32,Alicia Aguirre,4,3,3,1.3,0,1,4,3,0,0,1.3,4,1.3
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,109,6,18.2,51,1,3,Las Cruces,2018,179,16,1,2,0.0625,11.2,89.5,18.2,#32,Alicia Aguirre,68,1,68,68,1,3,72,4,1,0.25,18,36,68
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,45,8,5.6,17,1,4,Las Cruces,2018,224,24,2,3,0.08333333333333333,9.3,74.7,5.6,#32,Alicia Aguirre,14,3,8,4.7,0,4,86,7,1,0.14285714285714285,12.3,28.7,4.7
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,93,13,7.2,15,0,5,Las Cruces,2018,317,37,2,4,0.05405405405405406,8.6,79.2,7.2,#32,Alicia Aguirre,12,2,6,6,0,5,98,9,1,0.1111111111111111,10.9,24.5,6
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,68,12,5.7,23,1,6,Las Cruces,2018,385,49,3,5,0.061224489795918366,7.9,77,5.7,#32,Alicia Aguirre,15,2,8,7.5,0,6,113,11,1,0.09090909090909091,10.3,22.6,7.5
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,21,6,3.5,9,0,2,Divas,2018,21,6,0,1,0,3.5,21,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,4,3,1.3,3,1,3,Divas,2018,25,9,1,2,0.1111111111111111,2.8,12.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,100,14,7.1,24,1,4,Divas,2018,125,23,2,3,0.08695652173913043,5.4,41.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,97,17,5.7,17,1,7,Divas,2018,222,41,3,5,0.07317073170731707,5.4,44.4,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,69,12,5.8,30,0,8,Divas,2018,291,53,3,6,0.05660377358490566,5.5,48.5,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,16,2,8,13,0,10,Divas,2018,307,55,3,7,0.05454545454545454,5.6,43.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #4,#4 Amoni Suttice,#4,Amoni Suttice,8,3,2.7,5,0,1,Waverunners,2018,8,3,0,1,0,2.7,8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #4,#4 Amoni Suttice,#4,Amoni Suttice,217,12,18.1,50,5,2,Waverunners,2018,225,15,5,2,0.3333333333333333,15,112.5,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #4,#4 Amoni Suttice,#4,Amoni Suttice,53,8,6.6,17,0,3,Waverunners,2018,278,23,5,3,0.21739130434782608,12.1,92.7,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
